Cuisine Combination,Restaurant Count
North Indian,936
"Chinese, North Indian",616
"Mughlai, North Indian",394
Fast Food,354
Chinese,354
"Chinese, Mughlai, North Indian",306
Cafe,299
Bakery,218
"Bakery, Desserts",181
"Chinese, Fast Food",159
Street Food,149
"Fast Food, Pizza",142
"Chinese, North Indian, South Indian",135
"Mithai, Street Food",134
"Fast Food, North Indian",120
"Bakery, Fast Food",117
South Indian,112
"Desserts, Ice Cream",109
"Chinese, Continental, North Indian",107
Mughlai,103
"Chinese, Fast Food, North Indian",102
"Burger, Fast Food",99
Ice Cream,74
Mithai,71
"Bakery, Desserts, Fast Food",69
"American, Fast Food, Healthy Food, Salad",63
"Beverages, Fast Food",59
"Fast Food, North Indian, Raw Meats",57
"Chinese, Thai",54
Biryani,54
Italian,54
Beverages,54
"North Indian, South Indian",54
Pizza,53
Desserts,53
Finger Food,49
"Chinese, South Indian",45
"Fast Food, Raw Meats",45
"Italian, Pizza",43
"Fast Food, Italian, Pizza",41
"Continental, North Indian",41
"Chinese, Continental, Italian, North Indian",37
Mexican,36
"North Indian, Street Food",34
"Biryani, North Indian",33
"Chinese, Italian, North Indian",33
"Continental, Italian, North Indian",32
"Chinese, Fast Food, North Indian, South Indian",31
American,31
"Fast Food, Street Food",27
"Biryani, Mughlai",25
"American, Fast Food",22
"Burger, Desserts, Fast Food",22
"Cafe, Tea",21
Continental,21
"Japanese, Sushi",20
"Asian, Chinese, Thai",19
"Bakery, Cafe",19
"Asian, Continental, North Indian",19
"Cafe, Fast Food",19
"Continental, Italian",19
"Chinese, Tibetan",18
Indian,18
"Cafe, Continental, Italian",18
Asian,18
Japanese,17
"Fast Food, North Indian, South Indian",17
"Fast Food, Italian",17
Thai,16
"Chinese, Mithai, North Indian, South Indian, Street Food",16
"American, Burger",16
"Beverages, Desserts",16
Healthy Food,15
"American, Burger, Fast Food",15
"Chinese, Desserts, Fast Food, Mithai, North Indian, South Indian, Street Food",15
"Mithai, North Indian, Street Food",14
"Biryani, Mughlai, North Indian",14
Seafood,14
"Asian, Chinese",14
"Chinese, Continental, Mughlai, North Indian",14
"Cafe, Chinese, North Indian",14
"Cafe, Italian",13
"Cafe, Continental",13
"Mithai, North Indian, South Indian, Street Food",12
"Chinese, Fast Food, Italian, North Indian",12
"Cafe, Desserts",12
"Bakery, Chinese, Fast Food",12
"Chinese, Japanese, Thai",11
"Fast Food, South Indian",11
Modern Indian,11
"Chinese, North Indian, Street Food",11
"Bakery, Cafe, Desserts",11
"Bengali, North Indian",10
"Continental, Healthy Food",10
"Mithai, South Indian, Street Food",10
"Chinese, Fast Food, South Indian",10
"Chinese, Fast Food, Mughlai, North Indian",10
"Desserts, Street Food",10
"Mithai, North Indian",10
"Desserts, Fast Food",10
"Cafe, Chinese, Continental, Italian",9
"Chinese, Mughlai, North Indian, South Indian",9
"Chinese, Mughlai",9
"Fast Food, Tea",9
BBQ,9
Lebanese,9
"Chinese, Continental, North Indian, Thai",9
"Bakery, Mithai",9
"Chinese, Mithai, North Indian, South Indian",9
Brazilian,9
"Chinese, Fast Food, Mithai, North Indian, South Indian, Street Food",9
Kashmiri,8
"Healthy Food, Salad",8
"Fast Food, Mughlai, North Indian",8
"Biryani, Hyderabadi",8
"Bakery, Italian, Pizza",8
"American, Seafood, Steak",8
"Chinese, North Indian, Thai",8
"Finger Food, Italian, North Indian",8
"Beverages, Chinese, Desserts, Fast Food, Mithai, North Indian, South Indian, Street Food",8
"Chinese, Street Food",8
"Beverages, Fast Food, Ice Cream",8
"Japanese, Steak, Sushi",8
"European, Mediterranean, North Indian",8
"Chinese, Italian, Mughlai, North Indian",7
European,7
Steak,7
"American, Breakfast",7
"Bakery, Chinese",7
"Cafe, Chinese, Italian",7
"Cafe, European",7
"Chinese, Mithai, North Indian, Street Food",7
"Continental, European, North Indian",7
"Asian, Continental, Italian, North Indian",7
"Chinese, Italian, Mexican, North Indian",7
French,7
"European, North Indian",7
"Cafe, Italian, Pizza",7
"Cafe, Chinese, Continental, North Indian",7
"Cafe, Chinese",7
"Fast Food, Mithai",7
"Continental, European",7
